source_file,drive_link,context
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1ZzC87zXFnvL1BLqRfysekSnM6U0O5RCn/view?usp=sharing",""
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1v2kkhz7FK0IdRdligvUsLuyQmNSkd9_9/view?usp=sharing","১। | আমার বাংলা বই"
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1rXU60rCkpTXK-_3B93YTVzG46-IUmtdI/view?usp=sharing","২। | প্রাথমিক গণিত"
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1ffjwhG3lXIuUaANlD4dhMYNpANkGywk6/view?usp=sharing","৩। | English for Today"
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1v6Xm33LGVtSR031f7KwPECrziqNlkmTF/view?usp=sharing","৪। | প্রাথমিক বিজ্ঞান"
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1ohYqrb2Nj_HPaNSDPquQZMJyhp3T19bQ/view?usp=sharing","৫। | বাংলাদেশ ও বিশ্বপরিচয়"
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1iPSdVAVYErtJ-C6GyXR8SobDStytQCbc/view?usp=sharing","৬। | ইসলাম ও নৈতিক শিক্ষা"
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক (ইংরেজি ভার্সন).html","http://drive.google.com/file/d/1ZzC87zXFnvL1BLqRfysekSnM6U0O5RCn/view?usp=sharing","৭। | হিন্দু ধর্ম ও নৈতিক শিক্ষা"
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1v2kkhz7FK0IdRdligvUsLuyQmNSkd9_9/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1Fhvdrkh81oR8IpFQwk8ZYClHJm9K-xc_/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1ffjwhG3lXIuUaANlD4dhMYNpANkGywk6/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1qg06gxaGYyg9qAgGQnbK3MTKkNDlk_Jf/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1t6lqJjSHdNwfshxXLwWDqgn0XTvH3Yn4/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1PzBzgA_vTYv7Q2J8TEVWxTzt0aEqeIMQ/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1yXHkDytdXD_U3stx50iizAd8925djNCI/view?usp=drive_link",""
"2017\২০১৭ শিক্ষাবর্ষের চতুর্থ শ্রেণির পাঠ্যপুস্তক.html","http://drive.google.com/file/d/1v2kkhz7FK0IdRdligvUsLuyQmNSkd9_9/view?usp=drive_link","১। | আমার বাংলা বই"
